WKT,address_id,change_id,address_type,unit_value,address_number,address_number_suffix,address_number_high,water_route_name,water_name,suburb_locality,town_city,full_address_number,full_road_name,full_address,road_section_id,gd2000_xcoord,gd2000_ycoord,water_route_name_ascii,water_name_ascii,suburb_locality_ascii,town_city_ascii,full_road_name_ascii,full_address_ascii,shape_X,shape_Y
POINT (174.8158690167 -41.3143232667),1329845,1170233,Road,,21,,,,,Miramar,Wellington,21,Tahi Street,"21 Tahi Street, Miramar, Wellington",349361,174.81586902,-41.31432327,,,Miramar,Wellington,Tahi Street,"21 Tahi Street, Miramar, Wellington",174.8158690167,-41.3143232667
POINT (174.8157437333 -41.31453065),1329846,1170234,Road,,23,,,,,Miramar,Wellington,23,Tahi Street,"23 Tahi Street, Miramar, Wellington",349361,174.81574373,-41.31453065,,,Miramar,Wellington,Tahi Street,"23 Tahi Street, Miramar, Wellington",174.8157437333,-41.31453065
POINT (174.8157583667 -41.31693805),388398,1580297,Road,,151,A,,,,Miramar,Wellington,151A,Hobart Street,"151A Hobart Street, Miramar, Wellington",349371,174.81575837,-41.31693805,,,Miramar,Wellington,Hobart Street,"151A Hobart Street, Miramar, Wellington",174.8157583667,-41.31693805
POINT (174.81676445 -41.3159250333),1668513,1422890,Road,,8,,,,,Miramar,Wellington,8,Park Road,"8 Park Road, Miramar, Wellington",76651,174.81676445,-41.31592503,,,Miramar,Wellington,Park Road,"8 Park Road, Miramar, Wellington",174.81676445,-41.3159250333
POINT (174.8185077667 -41.3237911333),388405,1580298,Road,,15,A,,,,Miramar,Wellington,15A,The Quadrant,"15A The Quadrant, Miramar, Wellington",85186,174.81850777,-41.32379113,,,Miramar,Wellington,The Quadrant,"15A The Quadrant, Miramar, Wellington",174.8185077667,-41.3237911333
POINT (174.81129675 -41.3209339667),1649191,1410380,Road,,21,,,,,Miramar,Wellington,21,Caledonia Street,"21 Caledonia Street, Miramar, Wellington",89651,174.81129675,-41.32093397,,,Miramar,Wellington,Caledonia Street,"21 Caledonia Street, Miramar, Wellington",174.81129675,-41.3209339667
POINT (174.8246272667 -41.31048925),1647077,1408835,Road,,48,,,,,Miramar,Wellington,48,Darlington Road,"48 Darlington Road, Miramar, Wellington",75176,174.82462727,-41.31048925,,,Miramar,Wellington,Darlington Road,"48 Darlington Road, Miramar, Wellington",174.8246272667,-41.31048925
POINT (174.8244868 -41.3208408167),1745231,1728963,Road,,193,A,,,,Miramar,Wellington,193A,Townsend Road,"193A Townsend Road, Miramar, Wellington",87913,174.82448680,-41.32084082,,,Miramar,Wellington,Townsend Road,"193A Townsend Road, Miramar, Wellington",174.8244868,-41.3208408167
POINT (174.82659795 -41.31253695),565405,503369,Road,,191,,,,,Miramar,Wellington,191,Seatoun Heights Road,"191 Seatoun Heights Road, Miramar, Wellington",85608,174.82659795,-41.31253695,,,Miramar,Wellington,Seatoun Heights Road,"191 Seatoun Heights Road, Miramar, Wellington",174.82659795,-41.31253695
POINT (174.8155372833 -41.31439385),1598245,1699062,Road,,17,B,,,,Miramar,Wellington,17B,Tahi Street,"17B Tahi Street, Miramar, Wellington",349364,174.81553728,-41.31439385,,,Miramar,Wellington,Tahi Street,"17B Tahi Street, Miramar, Wellington",174.8155372833,-41.31439385
POINT (174.8255833333 -41.3103669667),1647061,1801206,Road,9,50,,,,,Miramar,Wellington,9/50,Darlington Road,"9/50 Darlington Road, Miramar, Wellington",75176,174.82558333,-41.31036697,,,Miramar,Wellington,Darlington Road,"9/50 Darlington Road, Miramar, Wellington",174.8255833333,-41.3103669667
POINT (174.8200916333 -41.3181942),1649998,1801398,Road,1,122,,,,,Miramar,Wellington,1/122,Miramar Avenue,"1/122 Miramar Avenue, Miramar, Wellington",84736,174.82009163,-41.31819420,,,Miramar,Wellington,Miramar Avenue,"1/122 Miramar Avenue, Miramar, Wellington",174.8200916333,-41.3181942
POINT (174.8183996667 -41.321928),1701015,1443962,Road,,32,,,,,Miramar,Wellington,32,Torridon Road,"32 Torridon Road, Miramar, Wellington",74763,174.81839967,-41.32192800,,,Miramar,Wellington,Torridon Road,"32 Torridon Road, Miramar, Wellington",174.8183996667,-41.321928
POINT (174.8261467333 -41.3103983167),1608937,1383862,Road,,27,,,,,Miramar,Wellington,27,Totara Road,"27 Totara Road, Miramar, Wellington",89315,174.82614673,-41.31039832,,,Miramar,Wellington,Totara Road,"27 Totara Road, Miramar, Wellington",174.8261467333,-41.3103983167
POINT (174.8131335833 -41.3254627667),383381,340838,Road,,404,,,,,Miramar,Wellington,404,Broadway,"404 Broadway, Miramar, Wellington",101107,174.81313358,-41.32546277,,,Miramar,Wellington,Broadway,"404 Broadway, Miramar, Wellington",174.8131335833,-41.3254627667
POINT (174.8142161 -41.31727095),382968,340443,Road,,19,,,,,Miramar,Wellington,19,Stone Street,"19 Stone Street, Miramar, Wellington",349365,174.81421610,-41.31727095,,,Miramar,Wellington,Stone Street,"19 Stone Street, Miramar, Wellington",174.8142161,-41.31727095
POINT (174.81777475 -41.3167210667),1659725,1713611,Road,,85,A,,,,Miramar,Wellington,85A,Miramar Avenue,"85A Miramar Avenue, Miramar, Wellington",349356,174.81777475,-41.31672107,,,Miramar,Wellington,Miramar Avenue,"85A Miramar Avenue, Miramar, Wellington",174.81777475,-41.3167210667
POINT (174.8201943333 -41.3226632333),1358333,1192651,Road,,30,,,,,Miramar,Wellington,30,Ira Street,"30 Ira Street, Miramar, Wellington",83030,174.82019433,-41.32266323,,,Miramar,Wellington,Ira Street,"30 Ira Street, Miramar, Wellington",174.8201943333,-41.3226632333
POINT (174.8219706167 -41.3237562167),1533450,1333162,Road,,4,,,,,Miramar,Wellington,4,Wilberforce Street,"4 Wilberforce Street, Miramar, Wellington",97781,174.82197062,-41.32375622,,,Miramar,Wellington,Wilberforce Street,"4 Wilberforce Street, Miramar, Wellington",174.8219706167,-41.3237562167
POINT (174.8166067333 -41.3187347833),388754,345832,Road,,44,,,,,Miramar,Wellington,44,Aparima Avenue,"44 Aparima Avenue, Miramar, Wellington",96618,174.81660673,-41.31873478,,,Miramar,Wellington,Aparima Avenue,"44 Aparima Avenue, Miramar, Wellington",174.8166067333,-41.3187347833
POINT (174.8244624833 -41.3209692),1606035,1700916,Road,,195,D,,,,Miramar,Wellington,195D,Townsend Road,"195D Townsend Road, Miramar, Wellington",87913,174.82446248,-41.32096920,,,Miramar,Wellington,Townsend Road,"195D Townsend Road, Miramar, Wellington",174.8244624833,-41.3209692
POINT (174.8177681833 -41.3137707833),1666394,1715139,Road,,49,C,,,,Miramar,Wellington,49C,Park Road,"49C Park Road, Miramar, Wellington",80934,174.81776818,-41.31377078,,,Miramar,Wellington,Park Road,"49C Park Road, Miramar, Wellington",174.8177681833,-41.3137707833
POINT (174.81756735 -41.3230682667),1620136,1704563,Road,,54,A,,,,Miramar,Wellington,54A,Strathavon Road,"54A Strathavon Road, Miramar, Wellington",88496,174.81756735,-41.32306827,,,Miramar,Wellington,Strathavon Road,"54A Strathavon Road, Miramar, Wellington",174.81756735,-41.3230682667
POINT (174.8222327333 -41.3128769),1629325,1397111,Road,,78,,,,,Miramar,Wellington,78,Rotherham Terrace,"78 Rotherham Terrace, Miramar, Wellington",94587,174.82223273,-41.31287690,,,Miramar,Wellington,Rotherham Terrace,"78 Rotherham Terrace, Miramar, Wellington",174.8222327333,-41.3128769
POINT (174.8210883333 -41.3220061167),388395,345500,Road,,14,,,,,Miramar,Wellington,14,Madison Place,"14 Madison Place, Miramar, Wellington",94349,174.82108833,-41.32200612,,,Miramar,Wellington,Madison Place,"14 Madison Place, Miramar, Wellington",174.8210883333,-41.3220061167
